Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
848,Apprentice or trainee - bricklayer,Female,5.00,34039.00,,,,
1077,Apprentice or trainee - bricklayer,Male,1220.00,25347.00,,,,
1053,Apprentice or trainee - business services,Female,579.00,24169.00,,,,
1030,Apprentice or trainee - business services,Male,284.00,29821.00,,,,
912,Apprentice or trainee - butcher,Female,110.00,31723.00,,,,
1026,Apprentice or trainee - butcher,Male,1662.00,29995.00,,,,
815,Apprentice or trainee - canvas and leather tradesperson,Female,3.00,35141.00,,,,
1027,Apprentice or trainee - canvas and leather tradesperson,Male,16.00,29980.00,,,,
979,Apprentice or trainee - care and community services,Female,301.00,28444.00,,,,
1003,Apprentice or trainee - care and community services,Male,77.00,32369.00,,,,
1009,Apprentice or trainee - carpenter and joiner,Female,129.00,26523.00,,,,
1039,Apprentice or trainee - carpenter and joiner,Male,15766.00,29252.00,,,,
998,Apprentice or trainee - chef,Female,2337.00,27564.00,,,,
1060,Apprentice or trainee - chef,Male,4382.00,27290.00,,,,
1037,Apprentice or trainee - cleaning services,Female,463.00,25116.00,,,,
1050,Apprentice or trainee - cleaning services,Male,481.00,28098.00,,,,
823,Apprentice or trainee - clerical services,Female,757.00,34880.00,,,,
981,Apprentice or trainee - clerical services,Male,227.00,33933.00,,,,
1015,Apprentice or trainee - clothing tradesperson,Female,10.00,26344.00,,,,
1087,Apprentice or trainee - clothing tradesperson,Male,5.00,24092.00,,,,
1040,Apprentice or trainee - cook,Female,132.00,24967.00,,,,
1068,Apprentice or trainee - cook,Male,233.00,26118.00,,,,
721,Apprentice or trainee - deck or fishing hand,Female,13.00,39883.00,,,,
825,Apprentice or trainee - deck or fishing hand,Male,78.00,44373.00,,,,
572,Apprentice or trainee - electrician,Female,481.00,47354.00,,,,
893,Apprentice or trainee - electrician,Male,19182.00,40108.00,,,,
741,Apprentice or trainee - electronics tradesperson,Female,26.00,38909.00,,,,
886,Apprentice or trainee - electronics tradesperson,Male,634.00,40504.00,,,,
1077,Apprentice or trainee - farm or garden worker,Female,29.00,21565.00,,,,
1067,Apprentice or trainee - farm or garden worker,Male,178.00,26151.00,,,,
867,Apprentice or trainee - financial services,Female,240.00,33245.00,,,,
887,Apprentice or trainee - financial services,Male,154.00,40439.00,,,,
1045,Apprentice or trainee - floor finisher,Male,182.00,28801.00,,,,
1066,Apprentice or trainee - florist,Female,127.00,22983.00,,,,
1103,Apprentice or trainee - florist,Male,3.00,18100.00,,,,
1054,"Apprentice or trainee - food, drink or meat processor",Female,65.00,24077.00,,,,
1046,"Apprentice or trainee - food, drink or meat processor",Male,71.00,28770.00,,,,
948,Apprentice or trainee - forestry,Female,3.00,30065.00,,,,
1001,Apprentice or trainee - forestry,Male,29.00,32503.00,,,,
972,Apprentice or trainee - gardener,Female,57.00,28766.00,,,,
1064,Apprentice or trainee - gardener,Male,837.00,26744.00,,,,
964,Apprentice or trainee - greenkeeper,Female,6.00,29167.00,,,,
1056,Apprentice or trainee - greenkeeper,Male,544.00,27822.00,,,,
1061,Apprentice or trainee - hair dresser,Female,3589.00,23326.00,,,,
1094,Apprentice or trainee - hair dresser,Male,216.00,23209.00,,,,
935,Apprentice or trainee - health and welfare support services,Female,286.00,30753.00,,,,
891,Apprentice or trainee - health and welfare support services,Male,93.00,40235.00,,,,
1060,Apprentice or trainee - hospitality,Female,272.00,23445.00,,,,
1085,Apprentice or trainee - hospitality,Male,184.00,24204.00,,,,
703,Apprentice or trainee - information technology technician,Female,55.00,40844.00,,,,
969,Apprentice or trainee - information technology technician,Male,316.00,34692.00,,,,
237,Apprentice or trainee - insurance claims investigator,Female,219.00,67832.00,,,,
351,Apprentice or trainee - insurance claims investigator,Male,142.00,76627.00,,,,
906,Apprentice or trainee - jeweller,Female,59.00,31964.00,,,,
1004,Apprentice or trainee - jeweller,Male,64.00,32062.00,,,,
715,Apprentice or trainee - jockey,Female,79.00,40421.00,,,,
635,Apprentice or trainee - jockey,Male,54.00,54834.00,,,,
711,Apprentice or trainee - justice and legal services ,Female,135.00,40586.00,,,,
785,Apprentice or trainee - justice and legal services ,Male,65.00,46643.00,,,,
643,Apprentice or trainee - mechanical trades engineer,Female,114.00,43460.00,,,,
847,Apprentice or trainee - mechanical trades engineer,Male,4441.00,42892.00,,,,
853,Apprentice or trainee - medical technician,Female,51.00,33815.00,,,,
878,Apprentice or trainee - medical technician,Male,58.00,41031.00,,,,
752,Apprentice or trainee - metal fabrication engineer,Female,49.00,38498.00,,,,
956,Apprentice or trainee - metal fabrication engineer,Male,4259.00,35829.00,,,,
347,Apprentice or trainee - miner,Female,53.00,59872.00,,,,
531,Apprentice or trainee - miner,Male,224.00,62935.00,,,,
1067,Apprentice or trainee - nurseryperson,Female,40.00,22943.00,,,,
1070,Apprentice or trainee - nurseryperson,Male,69.00,25996.00,,,,
1020,Apprentice or trainee - painter,Female,80.00,26159.00,,,,
1079,Apprentice or trainee - painter,Male,1170.00,25328.00,,,,
885,Apprentice or trainee - performing arts technician,Female,6.00,32745.00,,,,
1020,Apprentice or trainee - performing arts technician,Male,20.00,30976.00,,,,
877,Apprentice or trainee - plasterer,Female,5.00,32934.00,,,,
1059,Apprentice or trainee - plasterer,Male,899.00,27431.00,,,,
989,Apprentice or trainee - plumber,Female,54.00,28010.00,,,,
1011,Apprentice or trainee - plumber,Male,8584.00,31680.00,,,,
621,Apprentice or trainee - power generation plant operator,Female,7.00,44375.00,,,,
507,Apprentice or trainee - power generation plant operator,Male,89.00,64808.00,,,,
891,Apprentice or trainee - printer or graphic artist,Female,75.00,32519.00,,,,
913,Apprentice or trainee - printer or graphic artist,Male,315.00,38199.00,,,,
374,Apprentice or trainee - real estate representative,Female,939.00,58513.00,,,,
103,Apprentice or trainee - real estate representative,Male,963.00,113971.00,,,,
742,Apprentice or trainee - sales assistant (retail) ,Female,3995.00,38809.00,,,,
